z,Q,w_eff
2.930447e+03,1.119196e+02,-2.065974e+00
3.026648e+03,1.070137e+02,-2.068656e+00
3.126007e+03,1.023094e+02,-2.071343e+00
3.228628e+03,9.779871e+01,-2.074032e+00
3.334618e+03,9.347418e+01,-2.076723e+00
3.444087e+03,8.932865e+01,-2.079414e+00
3.557150e+03,8.535516e+01,-2.082103e+00
3.673925e+03,8.154707e+01,-2.084790e+00
3.794533e+03,7.789790e+01,-2.087472e+00
3.919100e+03,7.440152e+01,-2.090149e+00
4.047757e+03,7.105196e+01,-2.092818e+00
4.180637e+03,6.784350e+01,-2.095480e+00
4.317880e+03,6.477061e+01,-2.098132e+00
4.459628e+03,6.182798e+01,-2.100773e+00
4.606029e+03,5.901048e+01,-2.103402e+00
4.757236e+03,5.631318e+01,-2.106016e+00
4.913407e+03,5.373135e+01,-2.108616e+00
5.074705e+03,5.126043e+01,-2.111201e+00
5.241298e+03,4.889599e+01,-2.113768e+00
5.413360e+03,4.663380e+01,-2.116316e+00
5.591071e+03,4.446980e+01,-2.118845e+00
5.774615e+03,4.240003e+01,-2.121354e+00
5.964185e+03,4.042070e+01,-2.123840e+00
6.159978e+03,3.852818e+01,-2.126304e+00
6.362198e+03,3.671896e+01,-2.128745e+00
6.571058e+03,3.498964e+01,-2.131161e+00
6.786773e+03,3.333699e+01,-2.133552e+00
7.009570e+03,3.175785e+01,-2.135917e+00
7.239681e+03,3.024922e+01,-2.138254e+00
7.477346e+03,2.880817e+01,-2.140564e+00
7.722814e+03,2.743194e+01,-2.142846e+00
7.976339e+03,2.611779e+01,-2.145098e+00
8.238187e+03,2.486318e+01,-2.147321e+00
8.508632e+03,2.366557e+01,-2.149513e+00
8.787954e+03,2.252259e+01,-2.151675e+00
9.076446e+03,2.143195e+01,-2.153806e+00
9.374409e+03,2.039137e+01,-2.155905e+00
9.682153e+03,1.939876e+01,-2.157972e+00
1.000000e+04,1.845207e+01,-2.160007e+00
